Room no.,x,y ,z,Room Description
CE2_101,76.90470374,8.54454324,0,Highway Materials Lab
CE2_102,76.90478677,8.54456799,0,Faculty Room
CE2_103,76.90481441,8.54458215,0,Faculty Room
CE2_104,76.90483976,8.54459803,0,Faculty Room
CE2_105,76.90487096,8.54459483,0,Faculty Room
CE2_106,76.90488958,8.54456577,0,Faculty Room
CE2_107,76.90483774,8.54453839,0,Faculty Room
CE2_108,76.90481335,8.5445225,0,Faculty Room
,,,,
,,,,
CE2_201,76.90470143,8.5445787,1,Traffic Engineering Lab
CE2_202,76.90471628,8.54448581,1,Lecture Hall
CE2_203,76.90475236,8.54450107,1,Transportation Engineering Research Center
CE2_204,76.90483543,8.5445344,1,Faculty Room
CE2_205,76.90486454,8.5445758,1,Seminar Hall
CE2_206,76.90479388,8.54457272,1,Software Lab
