Room no.,x,y,z,Room description
,,,,
AR_101,76.90492036,8.54568054,-2,Material museum
AR_102,76.90484592,8.54572816,-2,Art/Model room
,,,,
AR_201,76.90505046,8.54576399,-1,Conference room
AR_202,76.90510439,8.54574879,-1,Store room
AR_203,76.90513849,8.54572712,-1,Acoustics & Building science lab
AR_204,76.90511495,8.5455785,-1,Second year studio
AR_205,76.90500120 ,8.54551186,-1,Research & conaultancy cell
AR_206,76.90501256,8.54562411,-1,Mini conference hall
AR_207,76.90496766,8.54564523,-1,Gents toilet
AR_208,76.90493348,8.54564898,-1,Faculty room
AR_209,76.90485754,8.54570491,-1,Third year studio
AR_210,76.90470538,8.54551451,-1,Fourth year studio
AR_211,76.90484189,8.54545291,-1,Library
AR_212,76.90493229,8.54540946,-1,Faculty room
,,,,
AR_301,76.90507570 ,8.54577014,0,Head of department
AR_302,76.90505388,8.54572784,0,Faculty room
AR_303,76.90513954,8.5455751,0,Architectureal graphics lab
AR_304,76.90501975,8.54562228,0,Faculty room
AR_305,76.90495691,8.54565425,0,Faculty room
AR_306,76.90493357,8.5456687,0,Store room
AR_307,76.90485935,8.5457061,0,J C Alexander Hall
AR_308,76.90471316,8.54551149,0,First year studio
AR_309,76.90486466,8.54544563,0,Tutorial room
AR_310,76.90492932,8.54541724,0,Faculty room
,,,,
AR_401,76.90507202,8.54575582,1,M1/M2 UD studio
AR_402,76.90512408,8.5457257,1,Photography lab
AR_403,76.90512339,8.54558653,1,M1/M2 housing studio
AR_404,76.90500240 ,8.54551066,1,Faculty room
AR_405,76.90504380 ,8.54563172,1,Discussion room
AR_406,76.90500308,8.54564805,1,Ladies toilet
AR_407,76.90495635,8.54566261,1,Faculty room
AR_408,76.90485645,8.54572642,1,M3/M4 UD studio
AR_409,76.90472277,8.54551144,1,Exhibition hall
AR_410,76.90485151,8.54545645,1,M3/M4 housing studio
AR_411,76.90492517,8.54542562,1,Faculty room
