Room no.,x,y,z,Room description,,Fx,Fy
,,,,,,,
AR_101,76.90492036,8.54568054,-2,Material museum,,220,281
AR_102,76.90484592,8.54572816,-2,Art/Model room,,220,155
,,,,,,,
AR_201,76.90505046,8.54576399,-1,Conference room,,426,370
AR_202,76.90510439,8.54574879,-1,Store room,,427,435
AR_203,76.90513849,8.54572712,-1,Acoustics & Building science lab,,420,472
AR_204,76.90511495,8.5455785,-1,Second year studio,,287,515
AR_205,76.9050012,8.54551186,-1,Research & conaultancy cell,,160,423
AR_206,76.90501256,8.54562411,-1,Mini conference hall,,282,389
AR_207,76.90496766,8.54564523,-1,Gents toilet,,282,338
AR_208,76.90493348,8.54564898,-1,Faculty room,,252,291
AR_209,76.90485754,8.54570491,-1,Third year studio,,306,176
AR_210,76.90470538,8.54551451,-1,Fourth year studio,,65,79
AR_211,76.90484189,8.54545291,-1,Library,,55,248
AR_212,76.90493229,8.54540946,-1,Faculty room,,45,345
,,,,,,,
AR_301,76.9050757,8.54577014,0,Head of department,,444,383
AR_302,76.90505388,8.54572784,0,Faculty room,,391,383
AR_303,76.90513954,8.5455751,0,Architectureal graphics lab,,288,518
AR_304,76.90501975,8.54562228,0,Faculty room,,281,385
AR_305,76.90495691,8.54565425,0,Faculty room,,281,302
AR_306,76.90493357,8.5456687,0,Store room,,281,273
AR_307,76.90485935,8.5457061,0,J C Alexander Hall,,305,173
AR_308,76.90471316,8.54551149,0,First year studio,,72,82
AR_309,76.90486466,8.54544563,0,Tutorial room,,57,249
AR_310,76.90492932,8.54541724,0,Faculty room,,57,249
,,,,,,,
AR_401,76.90507202,8.54575582,1,M1/M2 UD studio,,424,371
AR_402,76.90512408,8.5457257,1,Photography lab,,429,437
AR_403,76.90512339,8.54558653,1,M1/M2 housing studio,,287,517
AR_404,76.9050024,8.54551066,1,Faculty room,,161,423
AR_405,76.9050438,8.54563172,1,Discussion room,,280,387
AR_406,76.90500308,8.54564805,1,Ladies toilet,,281,338
AR_407,76.90495635,8.54566261,1,Faculty room,,279,293
AR_408,76.90485645,8.54572642,1,M3/M4 UD studio,,305,177
AR_409,76.90472277,8.54551144,1,Exhibition hall,,57,98
AR_410,76.90485151,8.54545645,1,M3/M4 housing studio,,57,248
AR_411,76.90492517,8.54542562,1,Faculty room,,57,345
