id, X, Y, Z, val
,,,,
CE1_311,76.90507408,8.54482186,2, Faculty Room
CE1_312,76.90510506,8.54484654,2, Faculty Room
CE1_313,76.90512849,8.54486352,2, Faculty Room
CE1_310,76.90508809,8.54480606,2, Faculty Room
CE1_309,76.90511631,8.5448268,2, Faculty Room
CE1_308,76.90514292,8.54484501,2, Faculty Room
CE1_307,76.90516435,8.54486166,2, Faculty Room
CE1_306,76.90520596,8.5448915,2, Documentation Room
CE1_GT1,76.90521201,8.54489728,2, Gents Toilet
CE1_305,76.9051183,8.54496308,2, Lecture Hall S3/S4 C1
CE1_304,76.90506505,8.54503448,2, Lecture Hall M1/M2 SE
CE1_303,76.90505437,8.5450409,2, Lecture Hall S3/S4 C2
CE1_302,76.904977,8.54498998,2, Project Room
CE1_301,76.90495588,8.54494066,2, Seminar Hall 2
,,,,
,,,,
CE1_101,76.90487372,8.54493326,0,Drawing Hall
CE1_102,76.90502299,8.54505978,0, Lecture Hall S7/S8 C1
CE1_103,76.90509589,8.54502963,0,Lecture Hall Elective
CE1_104,76.90514128,8.54497638,0, Lecture Hall S7/S8 C2
CE1_105,76.90519628,8.54486526,0,Lecture Hall M3/M4 C1
CE1_106,76.90515353,8.54483669,0, Faculty Room
CE1_107,76.90512856,8.54481409,0, Faculty Room
CE1_108,76.90508832,8.54478197,0, Faculty Room
CE1_109,76.90504876,8.54483443,0, Faculty Room
CE1_110,76.90510912,8.54488514,0, Faculty Room
CE1_GT1,76.90523344,8.54488957,0, Gents Toilet(student)
CE1_ST1,76.90511557,8.54480355,0,Staff Toilet
,,,,
,,,,
,,,,
CE1_201,76.90487583,8.54494266,1,Seminar Hall 1
CE1_202,76.90503327,8.54506534,1, Lecture Hall S1/S2 C1
CE1_203,76.90509437,8.54503752,1,HOD Room
CE1_204,76.90513444,8.54499052,1, Lecture Hall S1/S2 C2
CE1_205,76.90519558,8.54486651,1,Lecture Hall M3/M4 SE
CE1_206,76.90516443,8.5448376,1, Faculty Room
CE1_207,76.90513694,8.54481639,1, Faculty Room
CE1_208,76.90508974,8.54478113,1, Faculty Room
CE1_209,76.90505227,8.54483326,1, Faculty Room
CE1_210,76.90509066,8.54486394,1, Faculty Room
CE1_211,76.90512177,8.54488436,1, Faculty Room
CE1_LT1,76.90523342,8.5448905,1,Ladies Toilet(student)
CE1_ST1,76.90511825,8.54479873,1,Staff Toilet
