id, x, y, z, val, fx, fy
ME1_101,76.9068902,8.5458233,0, Computer intergrated manufacturing lab,37,43
ME1_J0W,76.90696958,8.54581402,0, _junction,79,71
ME1_102,76.90694269,8.54575972,0, Machine Dynamics Lab,37,147
ME1_J0S,76.90701908,8.54574246,0, _junction,79,208
ME1_S0S,76.90704193,8.54575759,0, stairs,106,250
ME1_105,76.90712576,8.545809,0, Staff Room,197,243
ME1_J0E,76.9071531,8.54585004,0, _junction,253,206
ME1_106,76.90716828,8.54591312,0, Software LAB,298,140
ME1_J0N,76.90710197,8.54591126,0, _junction,251,75
ME1_S0N,76.90707835,8.54589692,0, stairs,222,30
ME1_104,76.90700302,8.54590438,0, CNC LAB,149,40
ME1_103,76.90699713,8.54568499,0, Tribology Research Lab,39,247
ME1_w1,"	 76.90708198",8.54577417,0, Staff Washroom,139,240
ME1_201,76.90691284,8.54583015,1, Mechanical engineering seminar hall - 2,37,109
ME1_J1W,76.90696958,8.54581402,1, _junction,78,143
ME1_202,76.90695725,8.54575149,1, Mechanical engineering seminar hall - 1,40,228
ME1_J1S,76.90701908,8.54574246,1, _junction,78,276
ME1_S1S,76.90704193,8.54575759,1, stairs,105,323
ME1_204,76.90709301,8.54577949,1, Staff Room,153,312
ME1_205,76.90712993,8.5458024,1, Staff Room,195,312
ME1_206,76.90715364,8.54582379,1, Staff Room,227,311
ME1_J1E,76.9071531,8.54585004,1, _junction,251,276
ME1_209,76.90716927,8.54590913,1, Staff Room,297,213
ME1_J1N,76.90710197,8.54591126,1, _junction,252,143
ME1_S1N,76.90707835,8.54589692,1, stairs,223,101
ME1_w2,"	 76.90704734",8.54592805,1, Washroom,189,110
ME1_211,76.90702166,8.54591225,1, Staff Room,163,110
ME1_212,76.90699797,8.54589365,1, Staff Room,129,110
ME1_213,76.90697467,8.54587465,1, Staff Room,101,110
ME1_203,76.90703134,8.54568661,1, Staff Room,38,339
ME1_207,76.90720819,8.54585319,1, Staff Room,297,296
ME1_208,76.90723168,8.54583038,1, Staff Room,297,344
ME1_210,76.90711322,8.54598268,1, Staff Room,297,122
ME1_301,76.90691002,8.54582579,2, S5/S6 M1 Lecture Hall,38,51
ME1_J2W,76.90696958,8.54581402,2, _junction,78,69
ME1_302,76.90696288,8.54575664,2, S5/S6 M3 Lecture Hall,38,156
ME1_J2S,76.90701908,8.54574246,2, _junction,78,203
ME1_S2S,76.90704193,8.54575759,2, stairs,107,246
ME1_304,76.90710299,8.54577506,2, Optical Microscopy,155,234
ME1_305,76.90714521,8.54581826,2, Model Room,214,235
ME1_J2E,76.9071531,8.54585004,2, _junction,252,204
ME1_306,76.9072058,8.54585539,2, Department Library,298,205
ME1_str,76.90714661,8.54593851,2, Store,298,120
ME1_J2N,76.90710197,8.54591126,2, _junction,252,70
ME1_S2N,76.90707835,8.54589692,2, stairs,223,27
ME1_w3,"	 76.90704337",8.54593265,2, Washroom,190,36
ME1_308,76.90702327,8.54591363,2, Staff Room,163,36
ME1_309,76.90698233,8.54588716,2, Energy Research Lab 2,121,36
ME1_303,76.90703421,8.54570014,2, Energy Research Lab 1,38,248
ME1_307,76.9071044,8.54597775,2, S5/S6 M2 Lecture Hall,297,45
